    ,,普宁,3106,广州,汉口,羊城总公司,-499.0,-8.0
    ,,,3184,汕头,南昌,南昌,-826.0,-14.0
    ,,,3496,深圳,重庆,广铁集团,-116.0,-1.0
    ,,,3736,深圳西,巴中,广铁集团,-394.0,-2.0
    ,,,C7679,广州南,珠海,广珠城际,25.0,1.0
    ,,,C7683,广州南,珠海,广珠城际,160.0,2.0
    ,,,C7687,广州南,珠海,广珠城际,140.0,2.0
    ,,,D2281,南京,深圳北,上海,4693.5,66.0
    ,,,D2283,上海虹桥,深圳北,上海,2883.0,39.0
    ,,,D2286,深圳北,上海虹桥,上海,2820.5,52.0
    ,,,D2287,上海虹桥,深圳北,上海,4421.5,65.0
    ,,,D2288,深圳北,上海虹桥,上海,1184.0,21.0
    ,,,D2294,深圳北,温州南,厦深广东,0.0,0.0
    ,,,D2298,深圳北,福州南,南昌,324.0,3.0
    ,,,D2301,福州南,深圳北,南昌,-98.5,-2.0
    ,,,D2302,深圳北,厦门,南昌,8362.5,110.0
    ,,,D2303,福州南,深圳北,南昌,4427.0,62.0
    ,,,D2306,深圳北,福州南,南昌,-95.5,-1.0
    ,,,D2307,福州南,深圳北,广铁集团,1574.0,25.0
    ,,,D2309,福州南,深圳北,广铁集团,1415.0,21.0
    ,,,D2310,深圳北,福州南,厦深广东,988.0,19.0
    ,,,D2311,福州南,深圳北,南昌,3202.0,47.0
    ,,,D2312,深圳北,福州南,南昌,3059.0,38.0
    ,,,D2313,泉州,深圳北,南昌,1686.0,23.0
    ,,,D2315,泉州,深圳北,广铁集团,5502.0,75.0
    ,,,D2316,深圳北,厦门,厦深广东,-324.0,-3.0
    ,,,D2317,厦门,深圳北,广铁集团,-163.0,-3.0
    ,,,D2319,厦门北,深圳北,广铁集团,5934.0,88.0
    ,,,D2322,深圳北,南昌西,南昌,-705.0,-2.0
    ,,,D2323,福州南,深圳北,南昌,3838.0,50.0
    ,,,D2325,武夷山东,深圳北,南昌,4505.0,64.0
    ,,,D2328,深圳北,福州南,南昌,-24.0,-2.0
    ,,,D2329,厦门北,深圳北,南昌,2243.0,36.0
    ,,,D2332,深圳北,厦门北,南昌,1947.0,30.0
    ,,,D2333,厦门,深圳北,广铁集团,6533.5,89.0
    ,,,D2335,厦门,深圳北,广铁集团,2316.5,33.0
    ,,,D2336,深圳北,厦门,厦深广东,911.0,13.0
    ,,,D2337,厦门,深圳北,广铁集团,2904.5,41.0
    ,,,D2338,深圳北,厦门,厦深广东,1501.0,44.0
    ,,,D2341,厦门北,深圳北,北京,2633.5,39.0
    ,,,D2342,深圳北,厦门北,北京,3900.5,67.0
    ,,,D2343,泉州,深圳北,上海,2156.0,45.0
    ,,,D2344,深圳北,泉州,上海,1911.0,49.0
    ,,,D2345,厦门北,深圳北,北京,3079.5,44.0
    ,,,D2351,龙岩,深圳北,南昌,6130.0,82.0
    ,,,D2352,深圳北,武夷山东,南昌,7657.0,93.0
    ,,,D2354,深圳北,龙岩,南昌,3325.0,58.0
    ,,,D2356,深圳北,龙岩,南昌,1483.5,54.0
    ,,,D2357,赣州,深圳北,南昌,2174.0,30.0
    ,,,D2836,广州南,贵阳北,成都,-535.0,-2.0
    ,,,D3126,深圳北,南京,上海,200.0,2.0
    ,,,D3337,福州南,深圳北,南昌,2398.5,34.0
    ,,,D3602,广州南,南宁东,广铁集团,-306.0,-2.0
    ,,,D3901,诏安,深圳北,上海,6902.0,97.0
    ,,,D4091,厦门北,深圳北,广铁集团,4306.0,58.0
    ,,,D4092,深圳北,厦门北,厦深广东,-69.0,-1.0
    ,,,D4093,厦门北,深圳北,广铁集团,489.0,6.0
    ,,,D4094,深圳北,厦门北,厦深广东,-946.0,-11.0
    ,,,D671,福州南,深圳北,南昌,2180.0,28.0
    ,,,D672,深圳北,福州南,南昌,2132.5,33.0
    ,,,D682,深圳北,厦门,厦深广东,4822.0,66.0
    ,,,D683,厦门,深圳北,广铁集团,4580.5,60.0
    ,,,D684,深圳北,厦门,厦深广东,-49.0,-1.0
    ,,,D685,厦门,深圳北,广铁集团,1966.5,28.0
    ,,,D686,深圳北,莆田,厦深广东,2935.5,41.0
    ,,,D7401,潮汕,深圳北,厦深广东,2706.0,41.0
    ,,,D7404,深圳北,潮汕,厦深广东,-160.0,4.0
    ,,,D7405,潮汕,深圳北,厦深广东,4430.0,60.0
    ,,,D7407,潮汕,深圳北,厦深广东,3562.5,52.0
    ,,,D7408,深圳北,潮汕,厦深广东,346.0,26.0
    ,,,D7410,深圳北,潮汕,厦深广东,-336.5,-3.0
    ,,,D7411,潮汕,深圳北,厦深广东,3096.0,48.0
    ,,,D7412,深圳北,饶平,厦深广东,1107.5,42.0
    ,,,D7413,饶平,深圳北,厦深广东,2338.0,36.0
    ,,,D7414,深圳北,潮汕,厦深广东,-86.0,2.0
    ,,,D7418,深圳北,潮汕,厦深广东,310.0,20.0
    ,,,D7419,潮汕,深圳北,北京,2840.0,49.0
    ,,,D7421,潮汕,深圳北,厦深广东,2441.5,37.0
    ,,,D7423,潮汕,深圳北,厦深广东,7673.0,103.0
    ,,,D7425,潮汕,深圳北,厦深广东,385.0,5.0
    ,,,D7426,深圳北,潮汕,厦深广东,-147.0,0.0
    ,,,D7501,广州东,潮汕,广深公司,-704.5,-1.0
    ,,,D7503,潮汕,广州东,广深公司,25184.5,186.0
    ,,,D7507,潮汕,广州东,广深公司,25068.5,187.0
    ,,,D7511,潮汕,广州东,广深公司,-163.5,-1.0
    ,,,D7513,广州东,潮汕,广深公司,-419.5,6.0
    ,,,D7515,潮汕,广州东,广深公司,14101.5,100.0
    ,,,D7517,广州东,潮汕,广深公司,99.0,6.0
    ,,,D7519,潮汕,广州东,广深公司,12122.0,90.0
    ,,,D7521,广州东,潮汕,广深公司,-187.5,7.0
    ,,,D7523,潮汕,广州东,广深公司,17935.5,148.0
    ,,,D7525,广州东,潮汕,广深公司,-117.0,12.0
    ,,,D7529,广州东,潮汕,广深公司,-194.0,-1.0
    ,,,D937,广州南,上海虹桥,上海,13200.0,17.0
    ,,,D9721,潮汕,深圳北,厦深广东,2178.5,32.0
    ,,,D9722,深圳北,潮汕,厦深广东,331.0,26.0
