    ,深圳北站,潮汕,3184,汕头,南昌,南昌,-86.0,0.0
    ,,,3806,广州东,重庆北,广铁集团,-864.0,-9.0
    ,,,C6818,深圳北,深圳坪山,厦深广东,0.0,0.0
    ,,,C7202,深圳北,汕尾,厦深广东,-91.0,-2.0
    ,,,C7210,深圳北,汕尾,厦深广东,-43.0,-1.0
    ,,,C7647,广州南,珠海,广珠城际,-20.0,-1.0
    ,,,C7651,广州南,珠海,广珠城际,-52.5,-1.0
    ,,,C7675,广州南,珠海,广珠城际,10.0,1.0
    ,,,D2281,南京,深圳北,上海,4437.0,83.0
    ,,,D2282,深圳北,南京,上海,1361.0,21.0
    ,,,D2283,上海虹桥,深圳北,上海,1850.5,25.0
    ,,,D2284,深圳北,上海虹桥,上海,431.5,18.0
    ,,,D2285,上海虹桥,深圳北,上海,2678.5,30.0
    ,,,D2286,深圳北,上海虹桥,上海,2685.5,62.0
    ,,,D2287,上海虹桥,深圳北,上海,4747.5,72.0
    ,,,D2288,深圳北,上海虹桥,上海,2289.5,23.0
    ,,,D2293,温州南,深圳北,广铁集团,964.0,14.0
    ,,,D2294,深圳北,温州南,厦深广东,6883.0,73.0
    ,,,D2295,福州南,深圳北,南昌,2573.5,84.0
    ,,,D2296,深圳北,泰宁,南昌,2469.0,29.0
    ,,,D2297,泰宁,深圳北,南昌,3143.0,36.0
    ,,,D2298,深圳北,福州南,南昌,775.0,29.0
    ,,,D2301,福州南,深圳北,南昌,741.0,9.0
    ,,,D2302,深圳北,厦门,南昌,11636.0,176.0
    ,,,D2303,福州南,深圳北,南昌,6201.0,70.0
    ,,,D2304,深圳北,武夷山东,南昌,1482.5,19.0
    ,,,D2305,厦门,深圳北,南昌,1597.5,57.0
    ,,,D2306,深圳北,福州南,南昌,3565.0,42.0
    ,,,D2307,福州南,深圳北,广铁集团,1932.5,29.0
    ,,,D2308,深圳北,福州南,厦深广东,2070.5,34.0
    ,,,D2309,福州南,深圳北,广铁集团,1229.0,30.0
    ,,,D2310,深圳北,福州南,厦深广东,1521.5,41.0
    ,,,D2311,福州南,深圳北,南昌,3406.5,48.0
    ,,,D2312,深圳北,福州南,南昌,1333.0,19.0
    ,,,D2313,泉州,深圳北,南昌,4517.0,60.0
    ,,,D2314,深圳北,泉州,南昌,4450.5,86.0
    ,,,D2315,泉州,深圳北,广铁集团,9225.0,109.0
    ,,,D2316,深圳北,厦门,厦深广东,8367.5,121.0
    ,,,D2317,厦门,深圳北,广铁集团,6731.5,151.0
    ,,,D2318,深圳北,厦门北,厦深广东,11812.0,183.0
    ,,,D2319,厦门北,深圳北,广铁集团,3039.5,46.0
    ,,,D2320,深圳北,泉州,厦深广东,2397.0,35.0
    ,,,D2321,南昌西,深圳北,南昌,8947.5,142.0
    ,,,D2322,深圳北,南昌西,南昌,1557.5,22.0
    ,,,D2323,福州南,深圳北,南昌,5002.5,60.0
    ,,,D2324,深圳北,福州南,南昌,2557.0,79.0
    ,,,D2325,武夷山东,深圳北,南昌,2662.0,43.0
    ,,,D2326,深圳北,福州南,南昌,3101.0,39.0
    ,,,D2327,福州南,深圳北,南昌,4065.5,54.0
    ,,,D2328,深圳北,福州南,南昌,2656.0,33.0
    ,,,D2329,厦门北,深圳北,南昌,3508.0,46.0
    ,,,D2330,深圳北,福州,南昌,8865.0,120.0
    ,,,D2331,福州,深圳北,南昌,3640.5,43.0
    ,,,D2332,深圳北,厦门北,南昌,1257.5,34.0
    ,,,D2333,厦门,深圳北,广铁集团,5091.5,114.0
    ,,,D2334,深圳北,厦门,厦深广东,3045.0,52.0
    ,,,D2335,厦门,深圳北,广铁集团,2532.0,33.0
    ,,,D2336,深圳北,厦门,厦深广东,1706.0,34.0
    ,,,D2337,厦门,深圳北,广铁集团,1921.5,37.0
    ,,,D2338,深圳北,厦门,厦深广东,2293.5,69.0
    ,,,D2341,厦门北,深圳北,北京,761.5,12.0
    ,,,D2342,深圳北,厦门北,北京,1851.0,43.0
    ,,,D2343,泉州,深圳北,上海,4863.5,68.0
    ,,,D2344,深圳北,泉州,上海,1894.5,65.0
    ,,,D2345,厦门北,深圳北,北京,1187.5,18.0
    ,,,D2346,深圳北,厦门北,北京,2439.5,50.0
    ,,,D2349,厦门北,深圳北,北京,6224.5,77.0
    ,,,D2350,深圳北,厦门北,北京,2317.5,39.0
    ,,,D2351,龙岩,深圳北,南昌,5738.5,71.0
    ,,,D2352,深圳北,武夷山东,南昌,13474.0,153.0
