    ,,葵潭,C7721,广州南,新会,广珠城际,40.0,1.0
    ,,,D2281,南京,深圳北,上海,63.0,1.0
    ,,,D2285,上海虹桥,深圳北,上海,981.0,15.0
    ,,,D2286,深圳北,上海虹桥,上海,-77.0,-1.0
    ,,,D2294,深圳北,温州南,厦深广东,797.5,6.0
    ,,,D2295,福州南,深圳北,南昌,2645.5,43.0
    ,,,D2296,深圳北,泰宁,南昌,126.5,7.0
    ,,,D2298,深圳北,福州南,南昌,1271.0,15.0
    ,,,D2301,福州南,深圳北,南昌,2294.5,40.0
    ,,,D2305,厦门,深圳北,南昌,1972.5,32.0
    ,,,D2315,泉州,深圳北,广铁集团,-89.0,-1.0
    ,,,D2316,深圳北,厦门,厦深广东,2080.5,24.0
    ,,,D2317,厦门,深圳北,广铁集团,1836.5,29.0
    ,,,D2322,深圳北,南昌西,南昌,222.0,10.0
    ,,,D2326,深圳北,福州南,南昌,376.0,3.0
    ,,,D2330,深圳北,福州,南昌,219.5,5.0
    ,,,D2333,厦门,深圳北,广铁集团,-74.0,-1.0
    ,,,D2337,厦门,深圳北,广铁集团,-74.0,-1.0
    ,,,D2343,泉州,深圳北,上海,1833.0,31.0
    ,,,D2349,厦门北,深圳北,北京,2248.0,37.0
    ,,,D2350,深圳北,厦门北,北京,687.5,13.0
    ,,,D2352,深圳北,武夷山东,南昌,-97.5,-1.0
    ,,,D2355,龙岩,深圳北,南昌,2241.0,38.0
    ,,,D2356,深圳北,龙岩,南昌,370.5,17.0
    ,,,D2358,深圳北,赣州,南昌,386.5,5.0
    ,,,D4094,深圳北,厦门北,厦深广东,4243.5,54.0
    ,,,D673,厦门,深圳北,南昌,2334.0,41.0
    ,,,D684,深圳北,厦门,厦深广东,139.5,4.0
    ,,,D685,厦门,深圳北,广铁集团,1843.0,30.0
    ,,,D7402,深圳北,潮汕,厦深广东,73.5,3.0
    ,,,D7410,深圳北,潮汕,厦深广东,108.0,8.0
    ,,,D7411,潮汕,深圳北,厦深广东,1718.5,28.0
    ,,,D7412,深圳北,饶平,厦深广东,362.0,35.0
    ,,,D7416,深圳北,潮汕,厦深广东,134.0,7.0
    ,,,D7507,潮汕,广州东,广深公司,279.0,3.0
    ,,,D7519,潮汕,广州东,广深公司,-295.0,-2.0
    ,,,D9724,深圳北,潮汕,厦深广东,-15.5,-1.0
    ,,,G6301,广州南,潮汕,厦深广东,54.0,2.0
    ,,,G6315,潮汕,广州南,厦深广东,297.0,2.0
    ,,,G6510,福田,广州南,广深港公司,74.5,1.0
